score:	0
Time:	0	 error: -100
Time:	51	 error: 10
Time:	102	 error: 61
Time:	153	 error: 22
Time:	204	 error: -9
Time:	255	 error: 17
Time:	306	 error: 51
Time:	357	 error: 61
Time:	408	 error: 24
Time:	459	 error: -21
Time:	510	 error: 34
Time:	561	 error: 38
Time:	612	 error: -34
Time:	663	 error: -20
Time:	714	 error: 29
Time:	765	 error: 6
Time:	816	 error: -22
Time:	867	 error: -28
Time:	918	 error: -16
Time:	969	 error: -23
Time:	1020	 error: -41
Time:	1071	 error: -62
Time:	1122	 error: -53
Time:	1173	 error: 30
Time:	1224	 error: 25
Time:	1275	 error: -69
Time:	1326	 error: -50
Time:	1377	 error: 34
Time:	1428	 error: -44
Time:	1479	 error: -89
Time:	1530	 error: -82
Time:	1581	 error: -61
Time:	1632	 error: -61
Time:	1683	 error: -40
Time:	1734	 error: -40
Time:	1785	 error: -56
Time:	1837	 error: -60
Time:	1888	 error: -23
Time:	1939	 error: 18
Time:	1990	 error: -35
Time:	2041	 error: -73
Time:	2093	 error: -27
Time:	2144	 error: -11
Time:	2195	 error: -61
Time:	2246	 error: -23
Time:	2297	 error: 19
Time:	2349	 error: -24
Time:	2400	 error: -45
Time:	2451	 error: -36
Time:	2502	 error: 0
Time:	2553	 error: 2
Time:	2605	 error: 3
Time:	2656	 error: 11
Time:	2707	 error: 20
Time:	2758	 error: 24
Time:	2809	 error: 35
Time:	2861	 error: 48
Time:	2912	 error: 52
Time:	2963	 error: 35
Time:	3014	 error: 9
Time:	3065	 error: 33
Time:	3117	 error: 49
Time:	3168	 error: 49
Time:	3219	 error: 39
Time:	3270	 error: 24
Time:	3321	 error: 16
Time:	3373	 error: 31
Time:	3424	 error: 30
Time:	3475	 error: 12
Time:	3526	 error: 21
Time:	3577	 error: 43
Time:	3629	 error: 50
Time:	3680	 error: 44
Time:	3731	 error: 32
Time:	3782	 error: 20
Time:	3833	 error: 26
Time:	3885	 error: 34
Time:	3936	 error: 35
Time:	3987	 error: 21
Time:	4038	 error: 35
Time:	4089	 error: 46
Time:	4141	 error: 58
Time:	4192	 error: 69
Time:	4243	 error: 72
Time:	4294	 error: 68
Time:	4345	 error: 56
Time:	4397	 error: 56
Time:	4448	 error: 68
Time:	4499	 error: 78
Time:	4550	 error: 75
Time:	4601	 error: 71
Time:	4653	 error: 35
Time:	4704	 error: -43
Time:	4755	 error: -58
Time:	4806	 error: 12
Time:	4857	 error: 42
Time:	4909	 error: -16
Time:	4960	 error: -38
Time:	5011	 error: -13
Time:	5062	 error: 10
Time:	5113	 error: -41
Time:	5165	 error: -77
Time:	5216	 error: -51
Time:	5267	 error: -23
Time:	5318	 error: -16
Time:	5369	 error: -44
Time:	5421	 error: -56
Time:	5472	 error: -29
Time:	5523	 error: -10
Time:	5574	 error: -15
Time:	5625	 error: 18
Time:	5677	 error: 15
Time:	5728	 error: 16
Time:	5779	 error: 21
Time:	5830	 error: 25
Time:	5881	 error: 23
Time:	5933	 error: 37
Time:	5984	 error: 48
Time:	6035	 error: 62
Time:	6086	 error: 45
Time:	6137	 error: 1
Time:	6189	 error: 0
Time:	6240	 error: 9
Time:	6291	 error: 17
Time:	6342	 error: 14
Time:	6393	 error: -4
Time:	6445	 error: -1
Time:	6496	 error: 16
Time:	6547	 error: 18
Time:	6598	 error: -3
Time:	6649	 error: -2
Time:	6701	 error: 4
Time:	6752	 error: 0
Time:	6803	 error: 7
Time:	6854	 error: 18
Time:	6905	 error: 27
Time:	6957	 error: 36
Time:	7008	 error: 36
Time:	7059	 error: 25
Time:	7110	 error: 27
Time:	7161	 error: 47
Time:	7213	 error: 52
Time:	7264	 error: 28
Time:	7315	 error: 22
Time:	7366	 error: 24
Time:	7417	 error: 40
Time:	7469	 error: 53
Time:	7520	 error: 60
Time:	7571	 error: 61
Time:	7622	 error: 53
Time:	7673	 error: 39
Time:	7725	 error: 22
Time:	7776	 error: 20
Time:	7827	 error: 29
Time:	7878	 error: 36
Time:	7929	 error: 42
Time:	7981	 error: 48
Time:	8032	 error: 47
Time:	8083	 error: 46
Time:	8134	 error: 22
Time:	8185	 error: 13
Time:	8237	 error: 30
Time:	8288	 error: 36
Time:	8339	 error: 7
Time:	8390	 error: 18
Time:	8441	 error: 30
Time:	8493	 error: -40
Time:	8544	 error: -4
Time:	8595	 error: 65
Time:	8646	 error: -6
Time:	8697	 error: -45
Time:	8749	 error: 17
Time:	8800	 error: 11
Time:	8851	 error: -44
Time:	8902	 error: 0
Time:	8953	 error: 17
Time:	9005	 error: -57
Time:	9056	 error: -66
Time:	9107	 error: -38
Time:	9158	 error: -4
Time:	9209	 error: 1
Time:	9261	 error: -23
Time:	9312	 error: -19
Time:	9363	 error: -9
Time:	9414	 error: -16
Time:	9465	 error: -34
Time:	9517	 error: -54
Time:	9568	 error: -52
Time:	9619	 error: -36
Time:	9670	 error: -42
Time:	9721	 error: -44
Time:	9773	 error: -68
Time:	9824	 error: -64
Time:	9875	 error: -11
Time:	9926	 error: -11
Time:	9977	 error: -61
Time:	10029	 error: -66
Time:	10080	 error: -16
Time:	10131	 error: 33
Time:	10182	 error: 12
