MT: 0.40	MR: 0.80	MF: 40
Time:	1	 error: -100
Time:	52	 error: 0
Time:	103	 error: 0
Time:	154	 error: 0
Time:	205	 error: 94
Time:	256	 error: 22
Time:	307	 error: -75
Time:	358	 error: 80
Time:	409	 error: 96
Time:	460	 error: 16
Time:	511	 error: -77
Time:	562	 error: -47
Time:	613	 error: 26
Time:	664	 error: 43
Time:	715	 error: -44
Time:	766	 error: -93
Time:	817	 error: -70
Time:	868	 error: -60
Time:	919	 error: 20
Time:	970	 error: 23
Time:	1021	 error: -73
Time:	1072	 error: -97
Time:	1123	 error: 36
Time:	1174	 error: 2
Time:	1225	 error: -67
Time:	1276	 error: -85
Time:	1327	 error: -90
Time:	1378	 error: -98
Time:	1429	 error: -100
Time:	1480	 error: -100
Time:	1531	 error: -99
Time:	1582	 error: -98
Time:	1633	 error: 35
Time:	1684	 error: 100
Time:	1735	 error: 71
Time:	1786	 error: -91
Time:	1837	 error: -94
Time:	1888	 error: -94
Time:	1939	 error: -93
Time:	1990	 error: -67
Time:	2041	 error: 95
Time:	2092	 error: 99
Time:	2143	 error: 94
Time:	2194	 error: 18
Time:	2245	 error: -79
Time:	2297	 error: 53
Time:	2348	 error: 96
Time:	2399	 error: 93
Time:	2450	 error: 0
Time:	2501	 error: 87
Time:	2553	 error: 36
Time:	2604	 error: -42
Time:	2655	 error: -15
Time:	2706	 error: 47
Time:	2757	 error: 73
Time:	2809	 error: 61
Time:	2860	 error: 29
Time:	2911	 error: -23
Time:	2962	 error: 25
Time:	3013	 error: 72
Time:	3065	 error: 62
Time:	3116	 error: -6
Time:	3167	 error: 25
Time:	3218	 error: 66
Time:	3269	 error: 70
Time:	3321	 error: 64
Time:	3372	 error: 43
Time:	3423	 error: 6
Time:	3474	 error: 28
Time:	3525	 error: 62
Time:	3577	 error: 61
Time:	3628	 error: 35
Time:	3679	 error: -3
Time:	3730	 error: -11
Time:	3781	 error: 14
Time:	3833	 error: 6
Time:	3884	 error: -31
Time:	3935	 error: -6
Time:	3986	 error: 21
Time:	4037	 error: -61
Time:	4089	 error: -60
Time:	4140	 error: 6
Time:	4191	 error: -4
Time:	4242	 error: -96
Time:	4293	 error: -95
Time:	4345	 error: -73
Time:	4396	 error: -13
Time:	4447	 error: 16
Time:	4498	 error: -32
Time:	4549	 error: -4
Time:	4601	 error: 67
Time:	4652	 error: 67
Time:	4703	 error: 6
Time:	4754	 error: -34
Time:	4805	 error: 67
Time:	4857	 error: 92
Time:	4908	 error: 95
Time:	4959	 error: 64
Time:	5010	 error: -94
Time:	5061	 error: -93
Time:	5113	 error: 16
Time:	5164	 error: 87
Time:	5215	 error: 57
Time:	5266	 error: -51
Time:	5317	 error: -70
Time:	5369	 error: 0
Time:	5420	 error: 75
Time:	5471	 error: 79
Time:	5522	 error: 45
Time:	5573	 error: -2
Time:	5625	 error: -17
Time:	5676	 error: 61
Time:	5727	 error: 87
Time:	5778	 error: 77
Time:	5829	 error: 40
Time:	5881	 error: 13
Time:	5932	 error: 35
Time:	5983	 error: 61
Time:	6034	 error: 52
Time:	6085	 error: 41
Time:	6137	 error: 12
Time:	6188	 error: -2
Time:	6239	 error: 41
Time:	6290	 error: 68
Time:	6341	 error: 75
Time:	6393	 error: 67
Time:	6444	 error: 4
Time:	6495	 error: -18
Time:	6546	 error: 24
Time:	6597	 error: 61
Time:	6649	 error: 13
Time:	6700	 error: -74
Time:	6751	 error: -71
Time:	6802	 error: 59
Time:	6853	 error: 77
Time:	6905	 error: -16
Time:	6956	 error: -92
Time:	7007	 error: -93
Time:	7058	 error: -42
Time:	7109	 error: 61
Time:	7161	 error: -26
Time:	7212	 error: -93
Time:	7263	 error: -93
Time:	7314	 error: -85
Time:	7365	 error: 15
Time:	7417	 error: 58
Time:	7468	 error: -13
Time:	7519	 error: -82
Time:	7570	 error: -86
Time:	7621	 error: -83
Time:	7673	 error: -46
Time:	7724	 error: -12
Time:	7775	 error: 44
Time:	7826	 error: -6
Time:	7877	 error: -90
Time:	7929	 error: -91
Time:	7980	 error: -59
Time:	8031	 error: 17
Time:	8082	 error: 29
Time:	8133	 error: -31
Time:	8185	 error: -65
Time:	8236	 error: 9
Time:	8287	 error: 79
Time:	8338	 error: 63
Time:	8389	 error: 28
Time:	8441	 error: 20
Time:	8492	 error: 46
Time:	8543	 error: 29
Time:	8594	 error: -14
Time:	8645	 error: 34
Time:	8697	 error: 86
Time:	8748	 error: 92
Time:	8799	 error: 87
Time:	8850	 error: 87
Time:	8901	 error: 86
Time:	8953	 error: 98
Time:	9004	 error: 20
Time:	9055	 error: -93
Time:	9106	 error: -92
Time:	9157	 error: -90
Time:	9209	 error: -88
Time:	9260	 error: -93
Time:	9311	 error: -96
Time:	9362	 error: -96
Time:	9413	 error: -96
Time:	9465	 error: 51
Time:	9516	 error: 91
Time:	9567	 error: 62
Time:	9618	 error: -95
Time:	9669	 error: -92
Time:	9721	 error: -35
Time:	9772	 error: -27
Time:	0	 error: 0
Time:	0	 error: 0
Time:	0	 error: 0
Time:	0	 error: 0
Time:	0	 error: 0
Time:	0	 error: 0
Time:	0	 error: 0
Time:	0	 error: 0
