MT: 0.40	MR: 0.80	MF: 40
Time:	1	 error: 100
Time:	52	 error: 17
Time:	103	 error: 33
Time:	154	 error: 97
Time:	205	 error: 71
Time:	256	 error: 68
Time:	307	 error: 71
Time:	358	 error: 57
Time:	409	 error: -23
Time:	460	 error: -6
Time:	511	 error: -13
Time:	562	 error: -62
Time:	613	 error: -3
Time:	665	 error: -17
Time:	716	 error: 7
Time:	767	 error: -74
Time:	818	 error: -58
Time:	869	 error: -69
Time:	921	 error: -62
Time:	972	 error: -93
Time:	1023	 error: -9
Time:	1074	 error: -19
Time:	1125	 error: -22
Time:	1177	 error: -22
Time:	1228	 error: 9
Time:	1279	 error: -5
Time:	1330	 error: -68
Time:	1381	 error: -91
Time:	1433	 error: -40
Time:	1484	 error: -52
Time:	1535	 error: -72
Time:	1586	 error: -82
Time:	1637	 error: -68
Time:	1689	 error: -57
Time:	1740	 error: -46
Time:	1791	 error: 4
Time:	1842	 error: -1
Time:	1893	 error: -42
Time:	1945	 error: 5
Time:	1996	 error: -44
Time:	2047	 error: -50
Time:	2098	 error: -33
Time:	2149	 error: -21
Time:	2508	 error: -1
Time:	2559	 error: 0
Time:	2610	 error: 5
Time:	2661	 error: 30
Time:	2713	 error: -89
Time:	2764	 error: -87
Time:	2815	 error: 4
Time:	2866	 error: -60
Time:	2917	 error: -62
Time:	2969	 error: 6
Time:	3020	 error: -1
Time:	3071	 error: -4
Time:	3122	 error: -10
Time:	3173	 error: -56
Time:	3225	 error: -13
Time:	3276	 error: 26
Time:	3327	 error: 43
Time:	3378	 error: 54
Time:	3429	 error: -18
Time:	3481	 error: -63
Time:	3532	 error: -83
Time:	3583	 error: -98
Time:	3634	 error: -74
Time:	3685	 error: -5
Time:	3737	 error: -38
Time:	3788	 error: -97
Time:	3839	 error: -95
Time:	3890	 error: -98
Time:	3941	 error: -13
Time:	3993	 error: -96
Time:	4044	 error: -72
Time:	4095	 error: -38
Time:	4146	 error: -64
Time:	4197	 error: -68
Time:	4249	 error: 12
Time:	4300	 error: -95
Time:	4351	 error: -95
Time:	4402	 error: -96
Time:	4453	 error: -93
Time:	4505	 error: -93
Time:	4556	 error: -95
Time:	4607	 error: -51
Time:	4658	 error: -95
Time:	4709	 error: -66
Time:	4761	 error: -88
Time:	4812	 error: -91
Time:	4863	 error: -94
Time:	4914	 error: -94
Time:	4965	 error: -94
Time:	5017	 error: -94
Time:	5068	 error: -94
Time:	5119	 error: -95
Time:	5170	 error: -94
Time:	5221	 error: -95
Time:	5273	 error: -94
Time:	5324	 error: -94
Time:	5375	 error: -94
Time:	5426	 error: -94
Time:	5477	 error: -94
Time:	5529	 error: -94
Time:	5580	 error: -94
Time:	5631	 error: -94
Time:	5682	 error: -94
Time:	5733	 error: -93
Time:	5785	 error: -94
Time:	5836	 error: -94
Time:	5887	 error: -93
Time:	5938	 error: -94
Time:	5989	 error: -94
Time:	6041	 error: -94
Time:	6092	 error: -94
Time:	6143	 error: -93
Time:	6194	 error: -93
Time:	6245	 error: -93
Time:	6297	 error: -93
Time:	6348	 error: -93
Time:	6399	 error: -94
Time:	6450	 error: -94
Time:	6501	 error: -94
Time:	6553	 error: -92
Time:	6604	 error: -92
Time:	6655	 error: -92
Time:	6706	 error: -92
Time:	6757	 error: -93
Time:	6809	 error: -93
Time:	6860	 error: -93
Time:	6911	 error: -93
Time:	6962	 error: -92
Time:	7013	 error: -93
Time:	7065	 error: -93
Time:	7116	 error: -93
Time:	7167	 error: -93
Time:	7218	 error: -93
Time:	7269	 error: -93
Time:	7321	 error: -93
Time:	7372	 error: -92
Time:	7423	 error: -93
Time:	7474	 error: -93
Time:	7525	 error: -93
Time:	7577	 error: -93
Time:	7628	 error: -93
Time:	7679	 error: -93
Time:	7730	 error: -93
Time:	7781	 error: -93
Time:	7833	 error: -93
Time:	7884	 error: -93
Time:	7935	 error: -97
Time:	7986	 error: -99
Time:	8037	 error: -93
Time:	8089	 error: -90
Time:	8140	 error: -90
Time:	8191	 error: -90
Time:	8242	 error: -87
Time:	8293	 error: -85
Time:	8345	 error: -83
Time:	8396	 error: -78
Time:	8447	 error: 34
Time:	8498	 error: 52
Time:	8549	 error: 43
Time:	8601	 error: -82
Time:	8652	 error: -91
Time:	8703	 error: -93
Time:	8754	 error: -89
Time:	8805	 error: 8
Time:	8857	 error: -85
Time:	8908	 error: 53
Time:	8959	 error: 28
Time:	9010	 error: -92
Time:	9061	 error: -91
Time:	9113	 error: -62
Time:	9164	 error: -92
Time:	9215	 error: -77
Time:	9266	 error: -37
Time:	9317	 error: -80
Time:	9369	 error: -31
Time:	9420	 error: -70
Time:	9471	 error: -79
Time:	9522	 error: -85
Time:	9573	 error: -73
Time:	9625	 error: 7
Time:	9676	 error: -80
Time:	9727	 error: -82
Time:	9778	 error: -61
Time:	9829	 error: -79
Time:	9881	 error: -78
Time:	9932	 error: -58
Time:	9983	 error: 56
Time:	10034	 error: -8
Time:	10085	 error: -45
Time:	10137	 error: 19
Time:	10188	 error: 28
