score:	0
Time:	0	 error: 100
Time:	51	 error: -78
Time:	102	 error: -68
Time:	153	 error: 47
Time:	204	 error: -72
Time:	255	 error: 0
Time:	306	 error: 89
Time:	357	 error: 8
Time:	408	 error: -92
Time:	459	 error: -85
Time:	510	 error: -23
Time:	562	 error: 33
Time:	613	 error: -8
Time:	664	 error: -72
Time:	715	 error: -92
Time:	766	 error: -98
Time:	818	 error: -93
Time:	869	 error: -98
Time:	920	 error: -99
Time:	971	 error: -96
Time:	1022	 error: 94
Time:	1074	 error: 40
Time:	1125	 error: -94
Time:	1176	 error: -95
Time:	1227	 error: -95
Time:	1278	 error: -90
Time:	1330	 error: -71
Time:	1381	 error: -65
Time:	1432	 error: -81
Time:	1483	 error: -90
Time:	1534	 error: -97
Time:	1586	 error: -97
Time:	1637	 error: -47
Time:	1688	 error: 68
Time:	1739	 error: 4
Time:	1790	 error: -94
Time:	1842	 error: -94
Time:	1893	 error: -97
Time:	1944	 error: -96
Time:	1995	 error: -67
Time:	2046	 error: 41
Time:	2098	 error: 15
Time:	2149	 error: -73
Time:	2200	 error: -90
Time:	2251	 error: 13
Time:	2302	 error: 88
Time:	2354	 error: 41
Time:	2405	 error: -65
Time:	2456	 error: 32
Time:	2507	 error: 80
Time:	2558	 error: 65
Time:	2610	 error: 6
Time:	2661	 error: -37
Time:	2712	 error: 47
Time:	2763	 error: 82
Time:	2814	 error: 53
Time:	2866	 error: -4
Time:	2917	 error: -2
Time:	2968	 error: 20
Time:	3019	 error: 9
Time:	3070	 error: 5
Time:	3122	 error: 17
Time:	3173	 error: 45
Time:	3224	 error: 52
Time:	3275	 error: 25
Time:	3326	 error: -27
Time:	3378	 error: 34
Time:	3429	 error: 85
Time:	3480	 error: 52
Time:	3531	 error: -33
Time:	3582	 error: -27
Time:	3634	 error: 74
Time:	3685	 error: 97
Time:	3736	 error: 93
Time:	3787	 error: 94
Time:	3838	 error: 95
Time:	3890	 error: 86
Time:	3941	 error: 68
Time:	3992	 error: 54
Time:	4043	 error: 27
Time:	4094	 error: -9
Time:	4146	 error: 19
Time:	4197	 error: 22
Time:	4248	 error: -20
Time:	4299	 error: -35
Time:	4350	 error: 1
Time:	4402	 error: 19
Time:	4453	 error: -24
Time:	4504	 error: -35
Time:	4555	 error: -31
Time:	4606	 error: -48
Time:	4658	 error: -24
Time:	4709	 error: 7
Time:	4760	 error: -23
Time:	4811	 error: -87
Time:	4862	 error: -90
Time:	4914	 error: -74
Time:	4965	 error: -63
Time:	5016	 error: -38
Time:	5067	 error: 26
Time:	5118	 error: -16
Time:	5170	 error: -51
Time:	5221	 error: -20
Time:	5272	 error: 48
Time:	5323	 error: 47
Time:	5374	 error: 3
Time:	5426	 error: -4
Time:	5477	 error: 29
Time:	5528	 error: 44
Time:	5579	 error: 39
Time:	5630	 error: 37
Time:	5682	 error: -1
Time:	5733	 error: -16
Time:	5784	 error: 38
Time:	5835	 error: 2
Time:	5886	 error: -74
Time:	5938	 error: 4
Time:	5989	 error: 37
Time:	6040	 error: -6
Time:	6091	 error: -11
Time:	6142	 error: 12
Time:	6194	 error: -6
Time:	6245	 error: -18
Time:	6296	 error: 4
Time:	6347	 error: 12
Time:	6398	 error: -4
Time:	6450	 error: -2
Time:	6501	 error: 16
Time:	6552	 error: 14
Time:	6603	 error: 14
Time:	6654	 error: 26
Time:	6706	 error: 36
Time:	6757	 error: 14
Time:	6808	 error: 13
Time:	6859	 error: 31
Time:	6910	 error: 40
Time:	6962	 error: 26
Time:	7013	 error: 9
Time:	7064	 error: 35
Time:	7115	 error: 73
Time:	7166	 error: 88
Time:	7218	 error: 95
Time:	7269	 error: 91
Time:	7320	 error: 56
Time:	7371	 error: -5
Time:	7422	 error: -3
Time:	7474	 error: 41
Time:	7525	 error: 73
Time:	7576	 error: 89
Time:	7627	 error: 95
Time:	7678	 error: 82
Time:	7730	 error: 28
Time:	7781	 error: -66
Time:	7832	 error: -25
Time:	7883	 error: 68
Time:	7934	 error: 64
Time:	7986	 error: -47
Time:	8037	 error: -88
Time:	8088	 error: -7
Time:	8139	 error: 51
Time:	8190	 error: -19
Time:	8242	 error: -42
Time:	8293	 error: -33
Time:	8344	 error: 13
Time:	8395	 error: 26
Time:	8446	 error: -65
Time:	8498	 error: -92
Time:	8549	 error: -61
Time:	8600	 error: -22
Time:	8651	 error: 20
Time:	8702	 error: -51
Time:	8754	 error: -59
Time:	8805	 error: -9
Time:	8856	 error: 17
Time:	8907	 error: -27
Time:	8958	 error: -53
Time:	9010	 error: -49
Time:	9061	 error: -52
Time:	9112	 error: -48
Time:	9163	 error: -20
Time:	9214	 error: -14
Time:	9266	 error: -6
Time:	9317	 error: 1
Time:	9368	 error: -28
Time:	9419	 error: -40
Time:	9470	 error: -28
Time:	9522	 error: 5
Time:	9573	 error: 0
Time:	9624	 error: -41
Time:	9675	 error: -39
Time:	9726	 error: 5
Time:	9778	 error: 9
Time:	9829	 error: -28
Time:	9880	 error: -33
Time:	9931	 error: -1
Time:	9982	 error: 44
Time:	10034	 error: 9
Time:	10085	 error: -29
Time:	10136	 error: 69
Time:	10187	 error: 100
